Gene	GeneEntrezID	Protein	Alias	EvidenceDescription	Reference
ABCA7	10347	TP binding cassette subfamily A member 7 		ABCA7 Deficiency Accelerates Amyloid-β Generation and Alzheimer's Neuronal Pathology.	J Neurosci 2016;36(13):3848-59.
ADIPOQ	9370	adiponectin	ACDC, ACRP30, ADIPQTL1, ADPN, APM-1, APM1, GBP28	Chronic adiponectin deficiency leads to Alzheimer's disease-like cognitive impairments and pathologies through AMPK inactivation and cerebral insulin resistance in aged mice.	Mol Neurodegener  2016;11(1):71.
AGER	177	advanced glycosylation end-product specific receptor 	RAGE, SCARJ1	Clinical trial of an inhibitor of RAGE-Aβ interactions in Alzheimer disease.	Neurology 2014;82:1536-42.;EMBO J  2004;23:4096-105. 
APH1B	83464	Gamma-secretase subunit APH-1B		gamma-Secretase heterogeneity in the Aph1 subunit: relevance for Alzheimer's disease.	Science. 2009;324:639-42.
APOE	348	Apolipoprotein E 4	AD2, APO-E, ApoE4, LDLCQ5, LPG	"Apolipoprotein E and Alzheimer disease: risk, mechanisms, and
therapy"	Nat Rev Neurol. 2013; 9(2): 106–118; EMBO Mol Med 2016; 8: 595–608
APP	351	Amyloid-beta A4 protein	AAA, ABETA, ABPP, AD1I, CTFgamma, CVAP, PN-II, PN2, preA4, APP	Amyloid precursor protein reduction enhances the formation of neurofibrillary tangles in a mutant tau transgenic mouse model.	"Neurobiol Aging  2017;55:202-212.;Send to
Science  2001;293:1487-91."
BACE1	23621	β-site APP-cleaving enzyme 1 		BACE1 deficiency rescues memory deficits and cholinergic dysfunction in a mouse model of Alzheimer's disease.	Neuron  2004;41:27-33.
BECN1	8678	beclin 1 		"The autophagy-related protein beclin 1 shows reduced expression in early Alzheimer disease and regulates amyloid beta accumulation in mice.
"	J Clin Invest  2008;118:2190-9. 
BRCA1	672	BRCA1, DNA repair associated		DNA repair factor BRCA1 depletion occurs in Alzheimer brains and impairs cognitive function in mice.	Nat Commun  2015;6:8897.
C3 	718	Complement C3 	AHUS5, ARMD9, ASPa, C3b, CPAMD1, HEL-S-62p, C3	Complement C3 deficiency leads to accelerated amyloid beta plaque deposition and neurodegeneration and modulation of the microglia/macrophage phenotype in amyloid precursor protein transgenic mice.	J Neurosci  2008;28:6333-41. 
Ccr2 	729230	C-C chemokine receptor type 2		Ccr2 deficiency impairs microglial accumulation and accelerates progression of Alzheimer-like disease.	"Nat Med  2007;13(4):432-8;
J Neurosci  2011;31(16):6208-20."
CD2AP	23607	CD2 associated protein		Effects of CD2-associated protein deficiency on amyloid-β in neuroblastoma cells and in an APP transgenic mouse model.	Mol Neurodegener  2015;10:12.
CD33	945	CD33 molecule 	p67; SIGLEC3; SIGLEC-3	"Genome-wide association analysis
reveals putative Alzheimer’s disease susceptibility loci in addition to APOE"	Am J Hum Genet 83: 623–632; EMBO Mol Med (2016) 8: 595–608
CNGA2 	1260	cyclic nucleotide-gated channel alpha 2 	CNG2, Cnca, Cncg4, OCNC1	Cnga2 Knockout Mice Display Alzheimer's-Like Behavior Abnormities and Pathological Changes.	Mol Neurobiol 2016;53(7):4992-9
CR1	1378	 complement C3b/C4b receptor 1 	KN; C3BR; C4BR; CD35	Genome-wide association study identifies variants at CLU and CR1 associated with Alzheimer’s disease. 	Nat Genet 2009; 41: 1094–1099; EMBO Mol Med (2016) 8: 595–608
CSNK1E	1454	Casein kinase I isoform epsilon		Regulation of Alzheimer's disease amyloid-beta formation by casein kinase I.	Proc Natl Acad Sci U S A  2007;104(10):4159-64..
CYFIP2	26999	Cytoplasmic FMR1 interacting protein 2		Alzheimer-related decrease in CYFIP2 links amyloid production to tau hyperphosphorylation and memory loss.	Brain  2016;139(Pt 10):2751-2765.
DYRK1A	1859	dual-specificity tyrosine phosphorylation-regulated kinase-1A	DYRK, DYRK1, HP86, MNB, MNBH, MRD7	Dyrk1 inhibition improves Alzheimer's disease-like pathology.	Aging Cell  2017;16(5):1146-1154;Neurobiol Dis 2017;106:76-88
EPHB2	2048	EPH receptor B2	CAPB, DRT, EK5, EPHT3, ERK, Hek5, PCBC, Tyro5	Reversing EphB2 depletion rescues cognitive functions in Alzheimer model.	"
Nature  2011; 469(7328):47-52."
FYN	2534	FYN proto-oncogene, Src family tyrosine kinase	SLK; SYN; p59-FYN	Fyn knock-down increases Aβ, decreases phospho-tau, and worsens spatial learning in 3×Tg-AD mice.	Neurobiol Aging  2012; 33(4):825.e15-24. 
GPR84	53831	G protein-coupled receptor 84	EX33; GPCR4	GPR84 deficiency reduces microgliosis, but accelerates dendritic degeneration and cognitive decline in a mouse model of Alzheimer's disease.	Brain Behav Immun  2015;46:112-20
GRM5	2915	Metabotropic glutamate receptor 5 	GPRC1E, MGLUR5, PPP1R86, mGlu5	Metabotropic glutamate receptor 5 is a coreceptor for Alzheimer aβ oligomer bound to cellular prion protein.	Neuron  2013;79(5):887-902.
GSAP	54103	" 
Gamma-secretase-activating protein"		Knockdown of GSAP in a mouse model of Alzheimer's disease reduces levels of amyloid-beta and plaque development.	Nature 2010;467(7311):95-8.
GSK3B	2932	glycogen synthase kinase 3β		Inhibition of GSK3β-mediated BACE1 expression reduces Alzheimer-associated phenotypes.	J Clin Invest  2013;123(1):224-35；Neurobiol Dis  2012;45(1):425-37. 
IDE	3416	Insulin-Degrading Enzyme	INSULYSIN	Insulin-Degrading Enzyme in the Fight against Alzheimer's Disease.	Trends Pharmacol Sci  2018;39(1):49-58; Neurology 2004;63(2):241-5.
IKBKB	3551	inhibitor of nuclear factor kappa B kinase subunit beta		IKKβ deficiency in myeloid cells ameliorates Alzheimer's disease-related symptoms and pathology.	J Neurosci  2014;34(39):12982-99. 
IL10	3586	interleukin 10		Il10 deficiency rebalances innate immunity to mitigate Alzheimer-like pathology.	Neuron  2015;85(3):534-48. 
IL18	3606	interleukin 18	IGIF; IL-18; IL-1g; IL1F4	Inflammasome-derived cytokine IL18 suppresses amyloid-induced seizures in Alzheimer-prone mice.	Proc Natl Acad Sci U S A. 2018;115(36):9002-9007.
LRP1	4035	low density lipoprotein receptor related protein 1 		LRP1 modulates APP trafficking along early compartments of the secretory pathway.	Neurobiol Dis  2008;31(2):188-97; Acta Neuropathol. 2006;112(4):405-15. 
LRP6	4040	LDL receptor related protein 6	ADCAD2; STHAG7	Deficiency in LRP6-mediated Wnt signaling contributes to synaptic abnormalities and amyloid pathology in Alzheimer's disease.	Neuron  2014;84(1):63-77. 
MAPK14	1432	p38α MAPK		Deficiency of Neuronal p38α MAPK Attenuates Amyloid Pathology in Alzheimer Disease Mouse and Cell Models through Facilitating Lysosomal Degradation of BACE1.	J Biol Chem  2016;291(5):2067-79.
MAPT	4137	Microtubule-associated protein tau	TAU; MSTD; PPND; DDPAC; MAPTL; MTBT1; MTBT2; FTDP-17; PPP1R103	"Formation of neurofibrillary tangles in P301l tau
transgenic mice induced by Abeta 42 fibrils;Reducing endogenous tau ameliorates amyloid beta-induced deficits in an Alzheimer’s disease mouse mode"	Science. 2001;293(5534):1491-1495; . Science. 2007;316(5825):750-754;Am J Pathol. 2012;181(6):1928-1940
MME	4311	Neprilysin 	CALLA, CD10, CMT2T, NEP, SCA43, SFE	Neprilysin Confers Genetic Susceptibility to Alzheimer's Disease in Han Chinese.	Mol Neurobiol  2016 Sep;53(7):4883-92;EMBO Rep  . 2009 Jan;10(1):94-100. 
MSR1	4481	macrophage scavenger receptor 1	SRA; SR-A; CD204; SR-AI; phSR1; phSR2; SCARA1; SR-AII; SR-AIII	Scara1 deficiency impairs clearance of soluble amyloid-β by mononuclear phagocytes and accelerates Alzheimer's-like disease progression.	Nat Commun  2013;4:2030. doi: 10.1038/ncomms3030.
mTOR	2475	mammalian target of rapamycin		Genetic reduction of mammalian target of rapamycin ameliorates Alzheimer's disease-like cognitive and pathological deficits by restoring hippocampal gene expression signature.	J Neurosci  2014;34(23):7988-98.
NFE2L2	4780	nuclear factor, erythroid 2 like 2		NRF2 deficiency replicates transcriptomic changes in Alzheimer's patients and worsens APP and TAU pathology; Deficiency in the transcription factor NRF2 worsens inflammatory parameters in a mouse model with combined tauopathy and amyloidopathy.	Redox Biol  2017;13:444-451.;Redox Biol  2018;18:173-180.
NLRP3	114548	NLR family pyrin domain containing 3 		NLRP3 inflammasome KO mice, when bred into APPswe/PS1ΔE9 (APP/PS1) mice, are completely protected from amyloid-induced AD-like disease	Nature. 2013;493(7434):674-8; Nat Immunol 9:857–865.
