Gene	Source
ABCA1	Genetic_risk_GWAS
ABCA7	Genetic_risk_GWAS
ABI3	Genetic_risk_GWAS
AC074212.3	Genetic_risk_GWAS
ACE	Genetic_risk_GWAS
ADAM10	Genetic_risk_GWAS
ADAM17	Genetic_risk_GWAS
ADAMTS1	Genetic_risk_GWAS
ADAMTS4	Genetic_risk_GWAS
AGRN	Genetic_risk_GWAS
ALPK2	Genetic_risk_GWAS
ANK3	Genetic_risk_GWAS
ANKH	Genetic_risk_GWAS
APH1B	Genetic_risk_GWAS
APOE	Genetic_risk_GWAS
APP	Genetic_risk_GWAS
BCKDK	Genetic_risk_GWAS
KAT8	Genetic_risk_GWAS
BIN1	Genetic_risk_GWAS
BLNK	Genetic_risk_GWAS
CASS4	Genetic_risk_GWAS
CD2AP	Genetic_risk_GWAS
CELF1	Genetic_risk_GWAS
CHRNE	Genetic_risk_GWAS
CLNK	Genetic_risk_GWAS
CLU	Genetic_risk_GWAS
CNTNAP2	Genetic_risk_GWAS
COX7C	Genetic_risk_GWAS
CR1	Genetic_risk_GWAS
CTSB	Genetic_risk_GWAS
CTSH	Genetic_risk_GWAS
DOC2A	Genetic_risk_GWAS
ECHDC3	Genetic_risk_GWAS
EPHA1	Genetic_risk_GWAS
FERMT2	Genetic_risk_GWAS
FOXF1	Genetic_risk_GWAS
GRN	Genetic_risk_GWAS
HAVCR2	Genetic_risk_GWAS
HESX1	Genetic_risk_GWAS
HLA-DRB5	Genetic_risk_GWAS
HLA-DRB1	Genetic_risk_GWAS
HS3ST5	Genetic_risk_GWAS
ICA1	Genetic_risk_GWAS
IDUA	Genetic_risk_GWAS
IGH	Genetic_risk_GWAS
IL-34	Genetic_risk_GWAS
INPP5D	Genetic_risk_GWAS
IQCK	Genetic_risk_GWAS
JAZF1	Genetic_risk_GWAS
KAT8	Genetic_risk_GWAS
KLF16	Genetic_risk_GWAS
LILRB2	Genetic_risk_GWAS
MAF	Genetic_risk_GWAS
MEF2C	Genetic_risk_GWAS
MME	Genetic_risk_GWAS
MS4A6A	Genetic_risk_GWAS
MS4A4E 	Genetic_risk_GWAS
MYO15A	Genetic_risk_GWAS
NCK2	Genetic_risk_GWAS
NME8	Genetic_risk_GWAS
NTN5	Genetic_risk_GWAS
PICALM	Genetic_risk_GWAS
PLCG2	Genetic_risk_GWAS
PLEKHA1	Genetic_risk_GWAS
PRDM7	Genetic_risk_GWAS
PRKD3	Genetic_risk_GWAS
NDUFAF7	Genetic_risk_GWAS
PTK2B	Genetic_risk_GWAS
RASGEF1C	Genetic_risk_GWAS
RBCK1	Genetic_risk_GWAS
RHOH	Genetic_risk_GWAS
SCIMP	Genetic_risk_GWAS
SEC61G	Genetic_risk_GWAS
SHARPIN	Genetic_risk_GWAS
SHARPIN 	Genetic_risk_GWAS
SIGLEC11	Genetic_risk_GWAS
SLC24A4	Genetic_risk_GWAS
SLC2A4RG	Genetic_risk_GWAS
SNX1	Genetic_risk_GWAS
SORL1	Genetic_risk_GWAS
SORT1	Genetic_risk_GWAS
SPPL2A	Genetic_risk_GWAS
TMEM106B	Genetic_risk_GWAS
TNIP1	Genetic_risk_GWAS
TPCN1	Genetic_risk_GWAS
TREM2	Genetic_risk_GWAS
TREML2	Genetic_risk_GWAS
TSPAN14	Genetic_risk_GWAS
UMAD1	Genetic_risk_GWAS
WDR12	Genetic_risk_GWAS
WDR81	Genetic_risk_GWAS
WWOX	Genetic_risk_GWAS
ZCWPW1	Genetic_risk_GWAS
