Gene	Source
A2M	Database
ABCA1	Genetic_risk_GWAS, Database
ABCA7	Experimentally validated, Genetic_risk_GWAS, Database
ABI3	Genetic_risk_GWAS, Database
AC074212.3	Genetic_risk_GWAS
ACE	Genetic_risk_GWAS, Database
ACHE	Database
ADAM10	Genetic_risk_GWAS, Database
ADAM17	Genetic_risk_GWAS
ADAMTS1	Genetic_risk_GWAS, Database
ADAMTS4	Genetic_risk_GWAS
ADIPOQ	Experimentally validated, Experimentally validated
AGER	Experimentally validated
AGRN	Genetic_risk_GWAS
ALOX5	Experimentally validated
ALPK2	Genetic_risk_GWAS
AMFR	Database
ANK3	Genetic_risk_GWAS
ANKH	Genetic_risk_GWAS
APH1B	Experimentally validated, Genetic_risk_GWAS, Database
APOC1	Database
APOE	Experimentally validated, Experimentally validated, Genetic_risk_GWAS, Database
APP	Experimentally validated, Experimentally validated, Genetic_risk_GWAS, Database
ARC	Database
ATP5F1A	Database
BACE1	Experimentally validated, Database
BAX	Database
BCHE	Database
BCKDK	Genetic_risk_GWAS
BCL2	Database
BDNF	Database
BECN1	Experimentally validated
BIN1	Experimentally validated, Genetic_risk_GWAS, Database
BLNK	Genetic_risk_GWAS
BRCA1	Experimentally validated
C3 	Experimentally validated
CALHM1	Database
CALM1	Database
CASP3	Database
CASS4	Genetic_risk_GWAS, Database
CD2AP	Experimentally validated, Genetic_risk_GWAS, Database
CD33	Experimentally validated, Database
CDK5	Experimentally validated, Database
CELF1	Genetic_risk_GWAS
CHAT	Database
CHRNA7	Database
CHRNB2	Database
CHRNE	Genetic_risk_GWAS
CLNK	Genetic_risk_GWAS
CLU	Genetic_risk_GWAS, Database
CNGA2 	Experimentally validated
CNTNAP2	Genetic_risk_GWAS
COX7C	Genetic_risk_GWAS
CR1	Experimentally validated, Genetic_risk_GWAS, Database
CRH	Database
CSNK1D	Experimentally validated
CSNK1E	Experimentally validated
CST3	Database
CTSB	Genetic_risk_GWAS
CTSH	Genetic_risk_GWAS
CX3CR1 	Experimentally validated
CYFIP2	Experimentally validated, Experimentally validated
CYP2D6	Database
CYP46A1	Database
Ccr2 	Experimentally validated
Cnga2 	Experimentally validated
DAPK1	Experimentally validated
DHCR24	Database
DOC2A	Genetic_risk_GWAS
DPYSL2	Database
DYRK1A	Experimentally validated
Dyrk1A	Experimentally validated
ECHDC3	Genetic_risk_GWAS
EIF2S1	Database
ENO1	Database
EPHA1	Genetic_risk_GWAS, Database
EPHB2	Experimentally validated
ESR1	Database
F2	Database
FERMT2	Genetic_risk_GWAS, Database
FOXF1	Genetic_risk_GWAS
FYN	Experimentally validated, Experimentally validated
GAB2	Database
GAPDHS	Database
GPR84	Experimentally validated
GRM5	Experimentally validated
GRN	Experimentally validated, Genetic_risk_GWAS, Database
GSAP	Experimentally validated
GSK3B	Experimentally validated, Experimentally validated, Database
HAVCR2	Genetic_risk_GWAS
HDAC6	Experimentally validated
HESX1	Genetic_risk_GWAS
HFE	Database
HLA-DRB1	Genetic_risk_GWAS
HLA-DRB5	Genetic_risk_GWAS, Database
HMGCR	Database
HMOX1	Database
HS3ST5	Genetic_risk_GWAS
ICA1	Genetic_risk_GWAS
IDE	Experimentally validated, Database
IDUA	Genetic_risk_GWAS
IGF1	Database
IGF1R	Database
IGF2	Database
IGF2R	Database
IGH	Genetic_risk_GWAS
IKBKB	Experimentally validated
IL-34	Genetic_risk_GWAS
IL10	Experimentally validated
IL18	Experimentally validated
IL1B	Database
IL33	Experimentally validated
IL6	Database
INPP5D	Genetic_risk_GWAS, Database
INS	Database
INSR	Database
IQCK	Genetic_risk_GWAS, Database
JAZF1	Genetic_risk_GWAS
KAT8	Genetic_risk_GWAS, Genetic_risk_GWAS
KLF16	Genetic_risk_GWAS
LEP	Database
LILRB2	Genetic_risk_GWAS
LRP1	Experimentally validated, Database
LRP6	Experimentally validated
LRRK2	Database
MAF	Genetic_risk_GWAS
MAOB	Database
MAPK14	Experimentally validated
MAPT	Experimentally validated, Experimentally validated, Database
MEF2C	Genetic_risk_GWAS
MIR100	Database
MIR146A	Database
MIR296	Database
MIR3622B	Database
MIR375	Database
MIR4467	Database
MIR505	Database
MIR708	Database
MIR766	Database
MME	Experimentally validated, Genetic_risk_GWAS
MPO	Database
MS4A4A	Database
MS4A4E 	Genetic_risk_GWAS
MS4A6A	Genetic_risk_GWAS
MSR1	Experimentally validated
MTHFR	Database
MYO15A	Genetic_risk_GWAS
NCK2	Genetic_risk_GWAS
NCSTN	Database
NDUFAF7	Genetic_risk_GWAS
NECTIN2	Database
NFE2L2	Experimentally validated, Experimentally validated
NLRP3	Experimentally validated
NME8	Genetic_risk_GWAS
NOS3	Database
NPY	Database
NRBF2	Experimentally validated
NTN5	Genetic_risk_GWAS
NUAK1 	Experimentally validated
PCDH11X	Database
PGRMC1	Database
PICALM	Genetic_risk_GWAS, Database
PICALM 	Experimentally validated
PLAU	Database
PLCG2	Genetic_risk_GWAS, Database
PLEKHA1	Genetic_risk_GWAS
PPARG	Database
PPP2CA	Experimentally validated, Experimentally validated
PRDM7	Genetic_risk_GWAS
PRKD3	Genetic_risk_GWAS
PRNP	Database
PSEN1	Experimentally validated, Database
PSEN2	Database
PTGS1	Database
PTGS2	Database
PTK2B	Genetic_risk_GWAS, Database
PTPRC	Experimentally validated
PYY	Database
RASGEF1C	Genetic_risk_GWAS
RBCK1	Genetic_risk_GWAS
RELN	Database
RHOH	Genetic_risk_GWAS
RTN3	Experimentally validated
RyR2	Experimentally validated
S100A9	Experimentally validated
SCIMP	Genetic_risk_GWAS
SEC61G	Genetic_risk_GWAS
SERPINA3	Experimentally validated, Experimentally validated
SHARPIN	Genetic_risk_GWAS
SHARPIN 	Genetic_risk_GWAS
SIGLEC11	Genetic_risk_GWAS
SLC24A4	Genetic_risk_GWAS
SLC2A4	Database
SLC2A4RG	Genetic_risk_GWAS
SLC30A4	Database
SLC30A6	Database
SLC6A4	Database
SMPD3	Experimentally validated, Experimentally validated
SNAR-I	Database
SNCA	Experimentally validated
SNX1	Genetic_risk_GWAS
SOD1 	Experimentally validated
SOD2	Database
SORCS1	Database
SORL1	Experimentally validated, Genetic_risk_GWAS, Database
SORT1	Genetic_risk_GWAS
SPPL2A	Genetic_risk_GWAS
SQSTM1	Experimentally validated
SUMO1	Experimentally validated
SYK	Experimentally validated, Experimentally validated
TF	Database
TFAM	Database
TGFB1	Experimentally validated
TMEM106B	Genetic_risk_GWAS
TNF	Database
TNIP1	Genetic_risk_GWAS
TOMM40	Database
TPCN1	Genetic_risk_GWAS
TPI1	Database
TPP1	Database
TREM2	Experimentally validated, Experimentally validated, Genetic_risk_GWAS, Database
TREML2	Genetic_risk_GWAS
TSPAN14	Genetic_risk_GWAS
TYROBP	Experimentally validated
UMAD1	Genetic_risk_GWAS
UNC5C	Database
VEGFA	Database
VSNL1	Database
WDR12	Genetic_risk_GWAS
WDR81	Genetic_risk_GWAS
WWOX	Genetic_risk_GWAS, Database
ZCWPW1	Genetic_risk_GWAS
mTOR	Experimentally validated
