Gene	Source
ABCA7	Experimentally validated amyloid
ADIPOQ	Experimentally validated amyloid
AGER	Experimentally validated amyloid
APH1B	Experimentally validated amyloid
APOE	Experimentally validated amyloid
APP	Experimentally validated amyloid
BACE1	Experimentally validated amyloid
BECN1	Experimentally validated amyloid
BRCA1	Experimentally validated amyloid
C3 	Experimentally validated amyloid
Ccr2 	Experimentally validated amyloid
CD2AP	Experimentally validated amyloid
CD33	Experimentally validated amyloid
CNGA2 	Experimentally validated amyloid
CR1	Experimentally validated amyloid
CSNK1E	Experimentally validated amyloid
CYFIP2	Experimentally validated amyloid
DYRK1A	Experimentally validated amyloid
EPHB2	Experimentally validated amyloid
FYN	Experimentally validated amyloid
GPR84	Experimentally validated amyloid
GRM5	Experimentally validated amyloid
GSAP	Experimentally validated amyloid
GSK3B	Experimentally validated amyloid
IDE	Experimentally validated amyloid
IKBKB	Experimentally validated amyloid
IL10	Experimentally validated amyloid
IL18	Experimentally validated amyloid
LRP1	Experimentally validated amyloid
LRP6	Experimentally validated amyloid
MAPK14	Experimentally validated amyloid
MAPT	Experimentally validated amyloid
MME	Experimentally validated amyloid
MSR1	Experimentally validated amyloid
mTOR	Experimentally validated amyloid
NFE2L2	Experimentally validated amyloid
NLRP3	Experimentally validated amyloid
NRBF2	Experimentally validated amyloid
PICALM 	Experimentally validated amyloid
PPP2CA	Experimentally validated amyloid
PSEN1	Experimentally validated amyloid
PTPRC	Experimentally validated amyloid
RTN3	Experimentally validated amyloid
S100A9	Experimentally validated amyloid
SERPINA3	Experimentally validated amyloid
SMPD3	Experimentally validated amyloid
SNCA	Experimentally validated amyloid
SOD1 	Experimentally validated amyloid
SORL1	Experimentally validated amyloid
SUMO1	Experimentally validated amyloid
SYK	Experimentally validated amyloid
TGFB1	Experimentally validated amyloid
TREM2	Experimentally validated amyloid
RyR2	Experimentally validated amyloid
ADIPOQ	Experimentally validated tau
ALOX5	Experimentally validated tau
APOE	Experimentally validated tau
APP	Experimentally validated tau
BIN1	Experimentally validated tau
CDK5	Experimentally validated tau
Cnga2 	Experimentally validated tau
CSNK1D	Experimentally validated tau
CX3CR1 	Experimentally validated tau
CYFIP2	Experimentally validated tau
DAPK1	Experimentally validated tau
Dyrk1A	Experimentally validated tau
FYN	Experimentally validated tau
GRN	Experimentally validated tau
GSK3B	Experimentally validated tau
HDAC6	Experimentally validated tau
IL33	Experimentally validated tau
MAPT	Experimentally validated tau
NFE2L2	Experimentally validated tau
NUAK1 	Experimentally validated tau
PPP2CA	Experimentally validated tau
SERPINA3	Experimentally validated tau
SMPD3	Experimentally validated tau
SQSTM1	Experimentally validated tau
SYK	Experimentally validated tau
TREM2	Experimentally validated tau
TYROBP	Experimentally validated tau
