"Rank"	"NodeID"	"Drug"	"Score"
1	"DB00625"	"efavirenz"	0.00986028325991515
2	"DB01273"	"varenicline"	0.000139712957165749
3	"DB00573"	"fenoprofen"	0.000106227471807861
4	"DB00657"	"mecamylamine"	0.00010493794671849
5	"DB00945"	"acetylsalicylic acid"	9.61386663054341e-05
6	"DB00812"	"phenylbutazone"	8.88623412664178e-05
7	"DB00469"	"tenoxicam"	8.575362772429e-05
8	"DB13295"	"atracurium"	7.98125458340048e-05
9	"DB06654"	"safinamide"	6.93716180113664e-05
10	"DB04818"	"iproniazid"	5.72450582064942e-05
11	"DB14209"	"trandolaprilat"	5.37076515623647e-05
12	"DB14569"	"tedizolid"	5.33075429418634e-05
13	"DB00492"	"fosinopril"	5.31029730543577e-05
14	"DB14213"	"perindoprilat"	5.13468855676177e-05
15	"DB00645"	"dyclonine"	5.03265323773167e-05
16	"DB14208"	"ramiprilat"	4.67509246455467e-05
17	"DB00585"	"nizatidine"	4.66484616996107e-05
18	"DB01010"	"edrophonium"	4.65424841157389e-05
19	"DB06479"	"propentofylline"	4.4984128409549e-05
20	"DB14217"	"quinaprilat"	4.39559729378837e-05
21	"DB04864"	"huperzine a"	4.16655329989874e-05
22	"DB01626"	"pargyline"	4.03452999254183e-05
23	"DB04017"	"clorgyline"	3.80792759321493e-05
24	"DB11783"	"imidapril"	3.8008228393535e-05
25	"DB01035"	"procainamide"	3.72086303016433e-05
26	"DB01400"	"neostigmine"	3.05124000272296e-05
27	"DB01348"	"spiraprilat"	2.96781838008851e-05
28	"DB13584"	"gallamine"	2.85823872620115e-05
29	"DB00392"	"ethopropazine"	2.79021777871384e-05
30	"DB01408"	"bambuterol"	2.7225817339985e-05
31	"DB00392"	"profenamine"	2.67745640722445e-05
32	"DB01122"	"ambenonium"	2.56863284845189e-05
33	""	"imidaprilat"	2.50024301380958e-05
34	"DB00545"	"pyridostigmine"	2.47963657045557e-05
35	"DB01004"	"ganciclovir"	2.35991234843015e-05
36	"DB01400"	"neostigmine methylsulfate"	2.34259052005092e-05
37	"DB00674"	"galantamine"	2.28459510360196e-05
38	"DB14125"	"benazeprilat"	2.27181884401711e-05
39	"DB00325"	"nitroprusside"	1.92727979459261e-05
40	"DB06695"	"dabigatran etexilate"	1.61056521397955e-05
41	"DB11095"	"desirudin"	1.54791915492973e-05
42	"DB04898"	"ximelagatran"	1.5105129423049e-05
43	"DB14038"	"sitosterol"	1.47178056739869e-05
44	"DB01283"	"lumiracoxib"	1.32141888286404e-05
45	"DB00554"	"piroxicam"	1.09757581299053e-05
46	"DB00963"	"bromfenac"	1.06838223038316e-05
47	"DB09214"	"dexketoprofen"	9.90059116840054e-06
48	"DB00814"	"meloxicam"	9.76166290913004e-06
49	"DB00184"	"nicotine"	9.75907281807628e-06
50	"DB00001"	"lepirudin"	9.75559605651994e-06
51	"DB00006"	"bivalirudin"	9.61661851422822e-06
52	"DB00749"	"etodolac"	8.85596477229362e-06
53	"DB06605"	"apixaban"	8.236264231958e-06
54	"DB00278"	"argatroban"	7.95519752605286e-06
55	"DB03793"	"benzoic acid"	7.63118339723949e-06
56	"DB13726"	"sulfaguanidine"	7.49657295403649e-06
57	"DB00981"	"physostigmine"	5.50697773083882e-06
58	"DB00989"	"rivastigmine"	5.42635273797836e-06
59	"DB00382"	"tacrine"	3.98360478957098e-06
60	"DB01245"	"decamethonium"	3.53982153221116e-06
61	"DB00550"	"propylthiouracil"	3.27522746596073e-06
62	"DB12831"	"gabexate"	2.85749645882758e-06
63	"DB00712"	"flurbiprofen"	2.72147184318014e-06
64	"DB00806"	"pentoxifylline"	2.41013848418402e-06
65	"DB04743"	"nimesulide"	2.36591987846033e-06
66	"DB08860"	"pitavastatin calcium"	2.06853088326657e-06
67	"DB03128"	"acetylcholine"	1.93338163371086e-06
68	"DB06228"	"rivaroxaban"	1.92896251042483e-06
69	"DB00439"	"cerivastatin"	1.91424998320387e-06
70	"DB00202"	"succinylcholine"	1.84129957078342e-06
71	"DB00561"	"doxapram"	1.80720320376093e-06
72	"DB01002"	"levobupivacaine"	1.77805293424321e-06
73	"DB00244"	"mesalamine"	1.62835319033078e-06
74	"DB08439"	"parecoxib"	1.6164317777714e-06
75	"DB16159"	"esflurbiprofen"	1.61103386521046e-06
76	"DB03808"	"hexamidine"	1.56725075618295e-06
77	"DB01367"	"rasagiline"	1.55531202817027e-06
78	"DB00870"	"suprofen"	1.48398276972919e-06
79	"DB00244"	"mesalazine"	1.47778887122341e-06
80	"DB00600"	"monobenzone"	1.32657950219352e-06
81	"DB00142"	"glutamic acid"	1.30486600592708e-06
82	"DB00601"	"linezolid"	1.14752066852135e-06
83	"DB01171"	"moclobemide"	1.0842450330729e-06
84	"DB00122"	"choline"	1.06052715363697e-06
85	"DB01156"	"bupropion"	9.7741648498398e-07
86	"DB08907"	"canagliflozin"	9.48247515212031e-07
87	"DB00142"	"l-glutamic acid"	8.69642980424261e-07
88	"DB00553"	"methoxsalen"	8.65013493201563e-07
89	"DB09019"	"bromhexine"	8.18459821034837e-07
90	"DB00564"	"carbamazepine"	8.08310548851742e-07
91	"DB13411"	"lofepramine"	7.76376648366389e-07
92	"DB11698"	"ipragliflozin"	7.6273032189447e-07
93	"DB00788"	"naproxen"	7.56484658702255e-07
94	"DB00991"	"oxaprozin"	7.50692435582655e-07
95	"DB09038"	"empagliflozin"	7.30906611562186e-07
96	"DB00344"	"protriptyline"	7.27123807047264e-07
97	"DB00752"	"tranylcypromine"	7.14396761450504e-07
98	"DB04540"	"cholesterol"	7.06837085119075e-07
99	"DB06700"	"desvenlafaxine"	7.06794297560542e-07
100	""	"pyrovalerone"	7.00364326378445e-07
101	"DB01175"	"escitalopram"	6.78182632402629e-07
102	"DB08918"	"levomilnacipran"	6.61434152653787e-07
103	"DB00579"	"mazindol"	6.58306481654415e-07
104	"DB04896"	"milnacipran"	6.52178273668535e-07
105	"DB00422"	"methylphenidate"	6.50359167125498e-07
106	"DB00843"	"donepezil"	6.04177871517267e-07
107	"DB00726"	"trimipramine"	5.97985617401423e-07
108	"DB04821"	"nomifensine"	5.89940603271432e-07
109	"DB12364"	"betrixaban"	5.21206416435725e-07
110	"DB11757"	"istradefylline"	5.19466735095794e-07
111	"DB00945"	"aspirin"	5.1427906912335e-07
112	"DB09016"	"butriptyline"	5.11988003534916e-07
113	"DB00784"	"mefenamic acid"	4.8107382365381e-07
114	"DB09065"	"cobicistat"	4.63099697030914e-07
115	"DB00821"	"carprofen"	4.58685214987918e-07
116	"DB01576"	"dextroamphetamine"	4.56395593088234e-07
117	"DB01628"	"etoricoxib"	4.53403461587918e-07
