Drug_name	DrugBank_ID	CHEMBL_ID	Gene_name	UniProt	Source	EntrezID
abacavir	DB01048	CHEMBL1380	ALB	P02768	BindingDB	213
abaloparatide	DB05084	CHEMBL3301581	PTH1R	PTH1R_HUMAN	TTD	5745
abarelix	DB00106	CHEMBL1252	GNRHR	GNRHR_HUMAN	TTD,IUPHAR	2798
abatacept	DB01281	CHEMBL1201823	CD80	P33681	IUPHAR	941
abatacept	DB01281	CHEMBL1201823	CD86	P42081	IUPHAR	942
abemaciclib	DB12001	CHEMBL3301610	CCND1	P24385	CHEMBL	595
abemaciclib	DB12001	CHEMBL3301610	CCND3	P30281	CHEMBL	896
abemaciclib	DB12001	CHEMBL3301610	CCNE1	P24864	CHEMBL	898
abemaciclib	DB12001	CHEMBL3301610	CCNH	P51946	CHEMBL	902
abemaciclib	DB12001	CHEMBL3301610	CCNT1	O60563	CHEMBL	904
abemaciclib	DB12001	CHEMBL3301610	CDK1	P06493	CHEMBL	983
abemaciclib	DB12001	CHEMBL3301610	CDK2	P24941	CHEMBL	1017
abemaciclib	DB12001	CHEMBL3301610	CDK4	P11802	CHEMBL,IUPHAR	1019
abemaciclib	DB12001	CHEMBL3301610	CDK5	Q00535	CHEMBL	1020
abemaciclib	DB12001	CHEMBL3301610	CDK6	Q00534	CHEMBL,IUPHAR	1021
abemaciclib	DB12001	CHEMBL3301610	CDK7	P50613	CHEMBL	1022
abemaciclib	DB12001	CHEMBL3301610	CDK9	P50750	CHEMBL	1025
abiraterone	DB05812	CHEMBL254328	CYP11B1	P15538	CHEMBL,TTD	1584
abiraterone	DB05812	CHEMBL254328	CYP11B2	P19099	CHEMBL,TTD	1585
abiraterone	DB05812	CHEMBL254328	CYP17A1	P05093	CHEMBL,TTD,BindingDB	1586
abiraterone	DB05812	CHEMBL254328	CYP19A1	CP19A_HUMAN	TTD	1588
abiraterone	DB05812	CHEMBL254328	CYP21A2	P08686	BindingDB	1589
abiraterone	DB05812	CHEMBL254328	CYP3A4	P08684	CHEMBL,TTD	1576
acalabrutinib	DB11703	CHEMBL3707348	BLK	P51451	IUPHAR	640
acalabrutinib	DB11703	CHEMBL3707348	BMX	P51813	CHEMBL,IUPHAR	660
acalabrutinib	DB11703	CHEMBL3707348	BTK	Q06187	CHEMBL,TTD,IUPHAR	695
acalabrutinib	DB11703	CHEMBL3707348	EGFR	P00533	CHEMBL,TTD,IUPHAR	1956
acalabrutinib	DB11703	CHEMBL3707348	ERBB2	P04626	CHEMBL,IUPHAR	2064
acalabrutinib	DB11703	CHEMBL3707348	ERBB4	Q15303	CHEMBL,IUPHAR	2066
acalabrutinib	DB11703	CHEMBL3707348	FYN	P06241	IUPHAR	2534
acalabrutinib	DB11703	CHEMBL3707348	GP6	Q9HCN6	CHEMBL	51206
acalabrutinib	DB11703	CHEMBL3707348	ITK	Q08881	IUPHAR	3702
acalabrutinib	DB11703	CHEMBL3707348	JAK3	P52333	IUPHAR	3718
acalabrutinib	DB11703	CHEMBL3707348	LCK	P06239	IUPHAR	3932
acalabrutinib	DB11703	CHEMBL3707348	LYN	P07948	IUPHAR	4067
acalabrutinib	DB11703	CHEMBL3707348	SRC	P12931	IUPHAR	6714
acalabrutinib	DB11703	CHEMBL3707348	TEC	P42680	CHEMBL,IUPHAR	7006
acalabrutinib	DB11703	CHEMBL3707348	TXK	P42681	CHEMBL,IUPHAR	7294
acarbose	DB00284	CHEMBL1566	AMY1A	P0DUB6	CHEMBL	276
